Serial Number:20541928 --

Date Time - GMT +09:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2020-08-30 21:10:00,28.70,0, , , , ,
2020-08-30 21:20:00,28.65,0, , , , ,
2020-08-30 21:30:00,28.70,0, , , , ,
2020-08-30 21:40:00,28.70,0, , , , ,
2020-08-30 21:50:00,28.65,0, , , , ,
2020-08-30 22:00:00,28.65,0, , , , ,
2020-08-30 22:10:00,28.65,0, , , , ,
2020-08-30 22:20:00,28.65,0, , , , ,
2020-08-30 22:30:00,28.61,0, , , , ,
2020-08-30 22:40:00,28.65,0, , , , ,
2020-08-30 22:50:00,28.61,0, , , , ,
2020-08-30 23:00:00,28.57,0, , , , ,
2020-08-30 23:10:00,28.61,0, , , , ,
2020-08-30 23:20:00,28.61,0, , , , ,
2020-08-30 23:30:00,28.57,0, , , , ,
2020-08-30 23:40:00,28.61,0, , , , ,
2020-08-30 23:50:00,28.61,0, , , , ,
2020-08-31 00:00:00,28.57,0, , , , ,
2020-08-31 00:10:00,28.61,0, , , , ,
2020-08-31 00:20:00,28.65,0, , , , ,
2020-08-31 00:30:00,28.61,0, , , , ,
2020-08-31 00:40:00,28.53,0, , , , ,
2020-08-31 00:50:00,28.61,0, , , , ,
2020-08-31 01:00:00,28.57,0, , , , ,
2020-08-31 01:10:00,28.57,0, , , , ,
2020-08-31 01:20:00,28.61,0, , , , ,
2020-08-31 01:30:00,28.61,0, , , , ,
2020-08-31 01:40:00,28.57,0, , , , ,
2020-08-31 01:50:00,28.61,0, , , , ,
2020-08-31 02:00:00,28.61,0, , , , ,
2020-08-31 02:10:00,28.61,0, , , , ,
2020-08-31 02:20:00,28.65,0, , , , ,
